Date,Team,Matchup,Result,Start Elo,Win Prob,Elo Change,New Elo
2025-11-26,OKC,OKC vs. MIN,W,1868.9,83.2%,+3.36,1872.2
2025-11-26,MIN,MIN @ OKC,L,1588.5,16.4%,-3.29,1585.2
2025-11-26,CHA,CHA vs. NYK,L,1252.4,12.8%,-2.56,1249.8
2025-11-25,LAC,LAC @ LAL,L,1449.7,23.4%,-4.68,1445.0
2025-11-25,ATL,ATL @ WAS,L,1528.0,90.6%,-18.12,1509.9
2025-11-25,WAS,WAS vs. ATL,W,1076.7,5.1%,+18.98,1095.6
2025-11-25,PHI,PHI vs. ORL,L,1395.7,21.7%,-4.34,1391.3
2025-11-25,LAL,LAL vs. LAC,W,1662.9,78.1%,+4.39,1667.3
2025-11-25,ORL,ORL @ PHI,W,1604.0,75.3%,+4.94,1608.9
2025-11-24,TOR,TOR vs. CLE,W,1615.1,50.9%,+9.81,1624.9
2025-11-24,DEN,DEN @ MEM,W,1694.1,80.4%,+3.91,1698.1
2025-11-24,NYK,NYK @ BKN,W,1582.7,86.6%,+2.67,1585.4
2025-11-24,HOU,HOU @ PHX,W,1696.8,62.0%,+7.61,1704.5
2025-11-24,DET,DET @ IND,W,1681.3,89.2%,+2.16,1683.5
2025-11-24,UTA,UTA @ GSW,L,1330.8,22.3%,-4.46,1326.3
2025-11-24,PHX,PHX vs. HOU,L,1596.4,33.9%,-6.78,1589.7
2025-11-24,CHI,CHI @ NOP,L,1477.1,80.8%,-16.15,1460.9
2025-11-24,GSW,GSW vs. UTA,W,1542.4,76.6%,+4.67,1547.1
2025-11-24,NOP,NOP vs. CHI,W,1196.7,14.3%,+17.15,1213.8
2025-11-24,MIN,MIN @ SAC,L,1622.7,80.9%,-16.18,1606.6
2025-11-24,BKN,BKN vs. NYK,L,1262.8,14.0%,-2.8,1259.9
2025-11-24,MIL,MIL vs. POR,L,1441.1,41.3%,-8.26,1432.8
2025-11-24,DAL,DAL @ MIA,L,1296.3,10.8%,-2.17,1294.1
2025-11-24,SAC,SAC vs. MIN,W,1389.9,22.5%,+15.5,1405.5
2025-11-24,MEM,MEM vs. DEN,L,1444.4,18.8%,-3.76,1440.7
2025-11-24,CLE,CLE @ TOR,L,1623.6,53.4%,-10.68,1613.0
2025-11-24,IND,IND vs. DET,L,1316.5,11.0%,-2.21,1314.3
2025-11-24,POR,POR @ MIL,W,1516.7,62.7%,+7.46,1524.2
2025-11-24,MIA,MIA vs. DAL,W,1663.6,89.3%,+2.14,1665.7
2025-11-23,SAS,SAS @ PHX,L,1563.6,44.6%,-8.91,1554.7
2025-11-23,CHA,CHA @ ATL,L,1253.8,13.0%,-2.6,1251.2
2025-11-23,PHI,PHI vs. MIA,L,1416.3,20.1%,-4.01,1412.3
2025-11-23,ATL,ATL vs. CHA,W,1582.8,86.9%,+2.63,1585.5
2025-11-23,POR,POR @ OKC,L,1506.7,11.3%,-2.26,1504.4
2025-11-23,LAL,LAL @ UTA,W,1654.2,86.1%,+2.78,1657.0
2025-11-23,LAC,LAC @ CLE,L,1465.1,30.5%,-6.1,1459.0
2025-11-23,CLE,CLE vs. LAC,W,1617.4,71.7%,+5.66,1623.1
2025-11-23,ORL,ORL @ BOS,L,1634.6,65.7%,-13.14,1621.4
2025-11-23,BKN,BKN @ TOR,L,1265.4,12.9%,-2.58,1262.8
2025-11-23,OKC,OKC vs. POR,W,1861.1,88.3%,+2.34,1863.5
2025-11-23,BOS,BOS vs. ORL,W,1539.2,39.0%,+12.2,1551.4
2025-11-23,UTA,UTA vs. LAL,L,1339.4,14.2%,-2.83,1336.5
2025-11-23,MIA,MIA @ PHI,W,1651.7,79.1%,+4.19,1655.9
2025-11-23,PHX,PHX vs. SAS,W,1592.7,52.9%,+9.42,1602.1
2025-11-23,TOR,TOR vs. BKN,W,1595.6,86.9%,+2.63,1598.2
2025-11-22,ORL,ORL vs. NYK,W,1610.5,51.2%,+9.76,1620.3
2025-11-22,MEM,MEM @ DAL,W,1435.9,67.5%,+6.5,1442.4
2025-11-22,CHI,CHI vs. WAS,W,1507.7,92.3%,+1.55,1509.3
2025-11-22,DEN,DEN vs. SAC,L,1718.9,89.5%,-17.89,1701.1
2025-11-22,CHA,CHA vs. LAC,L,1272.4,26.7%,-5.35,1267.1
2025-11-22,SAC,SAC @ DEN,W,1323.0,8.2%,+18.37,1341.4
2025-11-22,LAC,LAC @ CHA,W,1458.0,75.6%,+4.89,1462.9
2025-11-22,ATL,ATL @ NOP,W,1575.8,89.5%,+2.1,1577.9
2025-11-22,DAL,DAL vs. MEM,L,1303.4,31.1%,-6.22,1297.2
2025-11-22,NYK,NYK @ ORL,L,1590.9,45.6%,-9.12,1581.8
2025-11-22,MIL,MIL vs. DET,L,1454.7,22.9%,-4.58,1450.1
2025-11-22,WAS,WAS @ CHI,L,1077.7,7.8%,-1.56,1076.1
2025-11-22,NOP,NOP vs. ATL,L,1200.7,10.2%,-2.04,1198.7
2025-11-22,DET,DET @ MIL,W,1673.7,78.7%,+4.26,1677.9
2025-11-21,POR,POR @ GSW,W,1488.2,39.2%,+12.15,1500.4
2025-11-21,DEN,DEN @ HOU,W,1729.0,52.6%,+9.49,1738.5
2025-11-21,WAS,WAS @ TOR,L,1080.9,5.0%,-1.0,1079.9
2025-11-21,GSW,GSW vs. POR,L,1553.9,57.9%,-11.58,1542.3
2025-11-21,MIN,MIN @ PHX,L,1633.5,57.4%,-11.47,1622.0
2025-11-21,UTA,UTA vs. OKC,L,1342.2,4.9%,-0.98,1341.2
2025-11-21,BOS,BOS vs. BKN,L,1550.5,85.8%,-17.16,1533.4
2025-11-21,IND,IND @ CLE,L,1322.8,16.7%,-3.34,1319.5
2025-11-21,NOP,NOP @ DAL,L,1212.1,37.5%,-7.51,1204.6
2025-11-21,MIA,MIA @ CHI,W,1596.2,54.8%,+9.04,1605.3
2025-11-21,CLE,CLE vs. IND,W,1605.6,83.9%,+3.22,1608.8
2025-11-21,PHX,PHX vs. MIN,W,1588.0,44.3%,+11.13,1599.1
2025-11-21,BKN,BKN @ BOS,W,1209.6,10.6%,+17.87,1227.4
2025-11-21,OKC,OKC @ UTA,W,1856.3,95.0%,+1.0,1857.3
2025-11-21,TOR,TOR vs. WAS,W,1594.3,95.1%,+0.98,1595.2
2025-11-21,HOU,HOU vs. DEN,L,1704.6,45.6%,-9.11,1695.5
2025-11-21,CHI,CHI vs. MIA,L,1535.2,37.5%,-7.51,1527.7
2025-11-21,DAL,DAL vs. NOP,W,1305.5,63.8%,+7.24,1312.8
2025-11-20,ORL,ORL vs. LAC,W,1599.8,69.3%,+6.14,1606.0
2025-11-20,SAC,SAC @ MEM,L,1350.5,41.7%,-8.35,1342.1
2025-11-20,MEM,MEM vs. SAC,W,1381.7,50.7%,+9.87,1391.6
2025-11-20,PHI,PHI @ MIL,W,1405.7,40.9%,+11.82,1417.6
2025-11-20,LAC,LAC @ ORL,L,1474.9,34.9%,-6.98,1467.9
2025-11-20,ATL,ATL @ SAS,L,1601.1,57.7%,-11.54,1589.6
2025-11-20,MIL,MIL vs. PHI,L,1490.0,64.6%,-12.92,1477.1
2025-11-20,SAS,SAS vs. ATL,W,1561.8,46.5%,+10.71,1572.6
2025-11-19,CHI,CHI @ POR,W,1553.6,58.0%,+8.39,1562.0
2025-11-19,CLE,CLE vs. HOU,L,1613.6,37.9%,-7.58,1606.0
2025-11-19,NYK,NYK @ DAL,W,1600.5,84.8%,+3.04,1603.6
2025-11-19,MIA,MIA vs. GSW,W,1565.9,45.9%,+10.82,1576.7
2025-11-19,DEN,DEN @ NOP,W,1727.2,95.0%,+0.99,1728.2
2025-11-19,SAC,SAC @ OKC,L,1378.6,6.1%,-1.21,1377.4
2025-11-19,WAS,WAS @ MIN,L,1081.7,4.0%,-0.8,1080.9
2025-11-19,OKC,OKC vs. SAC,W,1853.9,93.9%,+1.22,1855.1
2025-11-19,HOU,HOU @ CLE,W,1689.3,59.3%,+8.13,1697.5
2025-11-19,CHA,CHA @ IND,L,1283.4,45.9%,-9.18,1274.2
2025-11-19,PHI,PHI vs. TOR,L,1398.0,26.0%,-5.2,1392.8
2025-11-19,POR,POR vs. CHI,L,1493.2,40.8%,-8.16,1485.0
2025-11-19,DAL,DAL vs. NYK,L,1304.2,15.5%,-3.11,1301.1
2025-11-19,MIN,MIN vs. WAS,W,1632.2,96.0%,+0.81,1633.0
2025-11-19,IND,IND vs. CHA,W,1302.7,51.5%,+9.71,1312.4
2025-11-19,GSW,GSW @ MIA,L,1580.2,50.0%,-10.0,1570.2
2025-11-19,TOR,TOR @ PHI,W,1587.2,75.6%,+4.88,1592.1
2025-11-19,NOP,NOP vs. DEN,L,1213.2,4.9%,-0.98,1212.2
2025-11-18,DET,DET @ ATL,W,1642.8,52.7%,+9.46,1652.3
2025-11-18,BOS,BOS @ BKN,W,1572.6,88.6%,+2.28,1574.9
2025-11-18,BKN,BKN vs. BOS,L,1213.4,11.1%,-2.21,1211.2
2025-11-18,POR,POR vs. PHX,L,1533.7,48.3%,-9.66,1524.0
2025-11-18,LAL,LAL vs. UTA,W,1649.6,85.1%,+2.98,1652.6
2025-11-18,ATL,ATL vs. DET,L,1613.3,44.3%,-8.85,1604.5
2025-11-18,GSW,GSW @ ORL,L,1607.4,55.3%,-11.07,1596.4
2025-11-18,ORL,ORL vs. GSW,W,1558.8,41.5%,+11.71,1570.5
2025-11-18,MEM,MEM @ SAS,L,1388.5,29.4%,-5.89,1382.6
2025-11-18,SAS,SAS vs. MEM,W,1535.0,69.3%,+6.15,1541.2
2025-11-18,UTA,UTA @ LAL,L,1351.0,15.5%,-3.1,1347.9
2025-11-18,PHX,PHX @ POR,W,1567.2,57.9%,+8.43,1575.6
2025-11-17,MIA,MIA vs. NYK,W,1552.7,41.6%,+11.68,1564.4
2025-11-17,CHA,CHA @ TOR,L,1294.2,16.3%,-3.26,1290.9
2025-11-17,PHI,PHI vs. LAC,W,1391.3,37.3%,+12.54,1403.8
2025-11-17,LAC,LAC @ PHI,L,1490.2,65.0%,-13.0,1477.2
2025-11-17,IND,IND @ DET,L,1306.1,12.8%,-2.56,1303.5
2025-11-17,DET,DET vs. IND,W,1636.9,86.9%,+2.62,1639.6
2025-11-17,MIN,MIN vs. DAL,W,1623.2,85.6%,+2.87,1626.1
2025-11-17,DAL,DAL @ MIN,L,1309.4,13.8%,-2.77,1306.6
2025-11-17,MIL,MIL @ CLE,L,1506.3,35.9%,-7.17,1499.1
2025-11-17,OKC,OKC @ NOP,W,1852.4,97.5%,+0.5,1852.9
2025-11-17,NOP,NOP vs. OKC,L,1214.8,2.5%,-0.5,1214.3
2025-11-17,NYK,NYK @ MIA,L,1605.5,56.7%,-11.34,1594.2
2025-11-17,CHI,CHI @ DEN,W,1525.6,21.1%,+15.79,1541.4
2025-11-17,CLE,CLE vs. MIL,W,1617.0,66.7%,+6.67,1623.6
2025-11-17,DEN,DEN vs. CHI,L,1741.7,76.2%,-15.25,1726.5
2025-11-17,TOR,TOR vs. CHA,W,1577.1,83.5%,+3.3,1580.4
2025-11-16,SAC,SAC @ SAS,L,1394.9,32.8%,-6.56,1388.4
2025-11-16,LAC,LAC @ BOS,L,1499.7,41.0%,-8.19,1491.5
2025-11-16,BKN,BKN @ WAS,W,1201.5,64.6%,+7.08,1208.6
2025-11-16,SAS,SAS vs. SAC,W,1528.8,69.5%,+6.1,1534.9
2025-11-16,PHX,PHX vs. ATL,L,1556.2,41.9%,-8.37,1547.8
2025-11-16,CHI,CHI @ UTA,L,1538.3,76.0%,-15.19,1523.1
2025-11-16,BOS,BOS vs. LAC,W,1568.6,60.5%,+7.89,1576.5
2025-11-16,HOU,HOU vs. ORL,W,1680.8,65.8%,+6.85,1687.7
2025-11-16,UTA,UTA vs. CHI,W,1326.8,21.7%,+15.66,1342.5
2025-11-16,DAL,DAL vs. POR,W,1297.6,19.0%,+16.2,1313.8
2025-11-16,POR,POR @ DAL,L,1568.6,84.2%,-16.83,1551.7
2025-11-16,WAS,WAS vs. BKN,L,1119.6,41.5%,-8.31,1111.3
2025-11-16,NOP,NOP vs. GSW,L,1222.0,9.6%,-1.91,1220.1
2025-11-16,ATL,ATL @ PHX,W,1619.3,59.8%,+8.03,1627.4
2025-11-16,ORL,ORL @ HOU,L,1563.6,33.3%,-6.65,1557.0
2025-11-16,GSW,GSW @ NOP,W,1616.1,90.8%,+1.84,1618.0
2025-11-15,CHA,CHA vs. OKC,L,1297.4,4.0%,-0.8,1296.6
2025-11-15,MIL,MIL vs. LAL,L,1526.4,36.1%,-7.22,1519.1
2025-11-15,CLE,CLE vs. MEM,W,1604.0,76.7%,+4.66,1608.7
2025-11-15,OKC,OKC @ CHA,W,1851.6,96.1%,+0.79,1852.4
2025-11-15,MEM,MEM @ CLE,L,1402.0,24.3%,-4.86,1397.1
2025-11-15,DEN,DEN @ MIN,W,1734.3,62.7%,+7.46,1741.7
2025-11-15,IND,IND vs. TOR,L,1323.2,20.1%,-4.03,1319.1
2025-11-15,MIN,MIN vs. DEN,L,1634.6,34.8%,-6.96,1627.6
2025-11-15,LAL,LAL @ MIL,W,1607.3,58.9%,+8.21,1615.5
2025-11-15,TOR,TOR @ IND,W,1571.2,81.4%,+3.71,1574.9
2025-11-14,CHA,CHA @ MIL,L,1302.6,20.4%,-4.08,1298.6
2025-11-14,MIN,MIN vs. SAC,W,1640.3,80.1%,+3.99,1644.3
2025-11-14,SAS,SAS vs. GSW,L,1528.0,39.3%,-7.85,1520.1
2025-11-14,POR,POR @ HOU,L,1585.6,38.9%,-7.79,1577.8
2025-11-14,BKN,BKN @ ORL,L,1181.6,9.9%,-1.99,1179.6
2025-11-14,HOU,HOU vs. POR,W,1648.8,56.9%,+8.62,1657.4
2025-11-14,LAC,LAC @ DAL,W,1490.7,76.3%,+4.74,1495.4
2025-11-14,GSW,GSW @ SAS,W,1608.6,62.0%,+7.59,1616.2
2025-11-14,SAC,SAC @ MIN,L,1404.5,21.0%,-4.2,1400.3
2025-11-14,DET,DET vs. PHI,W,1630.0,80.0%,+4.01,1634.0
2025-11-14,ORL,ORL vs. BKN,W,1566.2,90.2%,+1.95,1568.2
2025-11-14,LAL,LAL @ NOP,W,1601.2,89.5%,+2.09,1603.3
2025-11-14,MIL,MIL vs. CHA,W,1535.3,78.9%,+4.23,1539.6
2025-11-14,NYK,NYK vs. MIA,W,1593.6,53.3%,+9.34,1603.0
2025-11-14,NOP,NOP vs. LAL,L,1225.5,10.2%,-2.04,1223.5
2025-11-14,DAL,DAL vs. LAC,L,1283.4,22.9%,-4.57,1278.8
2025-11-14,MIA,MIA @ NYK,L,1562.5,44.4%,-8.87,1553.6
2025-11-14,PHI,PHI @ DET,L,1386.7,19.5%,-3.9,1382.8
2025-11-13,CLE,CLE vs. TOR,L,1646.2,68.0%,-13.59,1632.6
2025-11-13,UTA,UTA vs. ATL,L,1335.5,17.5%,-3.51,1332.0
2025-11-13,PHX,PHX vs. IND,W,1547.7,77.6%,+4.48,1552.2
2025-11-13,IND,IND @ PHX,L,1345.0,25.2%,-5.03,1340.0
2025-11-13,ATL,ATL @ UTA,W,1609.7,83.3%,+3.34,1613.0
2025-11-13,TOR,TOR @ CLE,W,1542.6,39.2%,+12.17,1554.8
2025-11-12,PHX,PHX @ DAL,W,1524.2,78.7%,+4.26,1528.5
2025-11-12,SAS,SAS vs. GSW,L,1544.2,43.8%,-8.76,1535.5
2025-11-12,HOU,HOU vs. WAS,W,1646.3,95.3%,+0.93,1647.2
2025-11-12,CLE,CLE @ MIA,W,1632.9,57.0%,+8.6,1641.5
2025-11-12,ORL,ORL @ NYK,W,1540.9,39.2%,+12.17,1553.1
2025-11-12,OKC,OKC vs. LAL,W,1833.5,77.6%,+4.49,1838.0
2025-11-12,MIL,MIL @ CHA,L,1595.1,88.1%,-17.63,1577.5
2025-11-12,LAC,LAC vs. DEN,L,1504.6,22.4%,-4.48,1500.1
2025-11-12,LAL,LAL @ OKC,L,1610.6,21.0%,-4.2,1606.4
2025-11-12,CHA,CHA vs. MIL,W,1280.5,16.6%,+16.69,1297.2
2025-11-12,MEM,MEM @ BOS,L,1420.7,32.9%,-6.58,1414.1
2025-11-12,NYK,NYK vs. ORL,L,1650.7,69.5%,-13.9,1636.8
2025-11-12,NOP,NOP vs. POR,L,1232.7,11.0%,-2.2,1230.5
2025-11-12,MIA,MIA vs. CLE,L,1603.0,48.5%,-9.69,1593.4
2025-11-12,WAS,WAS @ HOU,L,1121.1,4.6%,-0.92,1120.2
2025-11-12,DET,DET vs. CHI,W,1609.9,55.7%,+8.86,1618.7
2025-11-12,DEN,DEN @ LAC,W,1728.6,79.2%,+4.16,1732.8
2025-11-12,SAC,SAC vs. ATL,L,1441.0,32.5%,-6.5,1434.5
2025-11-12,ATL,ATL @ SAC,W,1590.6,72.9%,+5.42,1596.0
2025-11-12,CHI,CHI @ DET,L,1560.8,41.7%,-8.34,1552.5
2025-11-12,GSW,GSW @ SAS,W,1596.9,58.8%,+8.23,1605.2
2025-11-12,BOS,BOS vs. MEM,W,1528.0,62.8%,+7.44,1535.4
2025-11-12,POR,POR @ NOP,W,1598.7,89.3%,+2.14,1600.8
2025-11-12,DAL,DAL vs. PHX,L,1293.0,20.5%,-4.1,1288.9
2025-11-11,PHI,PHI vs. BOS,W,1371.0,26.7%,+14.66,1385.6
2025-11-11,BOS,BOS @ PHI,L,1537.8,71.3%,-14.26,1523.6
2025-11-11,BKN,BKN vs. TOR,L,1185.4,13.3%,-2.65,1182.8
2025-11-11,GSW,GSW @ OKC,L,1595.9,21.1%,-4.22,1591.7
2025-11-11,IND,IND @ UTA,L,1402.7,67.2%,-13.45,1389.2
2025-11-11,DEN,DEN @ SAC,W,1715.7,82.6%,+3.49,1719.2
2025-11-11,NYK,NYK vs. MEM,W,1646.2,76.4%,+4.71,1650.9
2025-11-11,TOR,TOR @ BKN,W,1508.9,86.4%,+2.73,1511.6
2025-11-11,UTA,UTA vs. IND,W,1312.6,42.1%,+11.58,1324.2
2025-11-11,OKC,OKC vs. GSW,W,1818.7,77.7%,+4.47,1823.2
2025-11-11,SAC,SAC vs. DEN,L,1452.4,18.6%,-3.72,1448.6
2025-11-11,MEM,MEM @ NYK,L,1448.3,25.0%,-4.99,1443.3
2025-11-10,ORL,ORL vs. POR,W,1499.4,35.4%,+12.93,1512.3
2025-11-10,CHI,CHI vs. SAS,L,1581.2,56.9%,-11.38,1569.9
2025-11-10,MIL,MIL @ DAL,W,1591.4,84.2%,+3.16,1594.6
2025-11-10,DAL,DAL vs. MIL,L,1299.5,15.6%,-3.12,1296.4
2025-11-10,ATL,ATL @ LAC,W,1562.4,57.4%,+8.51,1570.9
2025-11-10,SAS,SAS @ CHI,W,1523.0,40.3%,+11.94,1534.9
2025-11-10,NOP,NOP @ PHX,L,1243.5,17.5%,-3.49,1240.0
2025-11-10,LAL,LAL @ CHA,W,1612.7,88.9%,+2.23,1615.0
2025-11-10,MIN,MIN @ UTA,W,1632.7,88.4%,+2.32,1635.0
2025-11-10,WAS,WAS @ DET,L,1122.6,5.7%,-1.14,1121.5
2025-11-10,MIA,MIA vs. CLE,W,1591.0,45.0%,+11.0,1602.0
2025-11-10,LAC,LAC vs. ATL,L,1517.9,44.7%,-8.94,1508.9
2025-11-10,POR,POR @ ORL,L,1614.6,67.3%,-13.47,1601.2
2025-11-10,UTA,UTA vs. MIN,L,1282.5,11.9%,-2.38,1280.1
2025-11-10,CHA,CHA vs. LAL,L,1249.9,10.9%,-2.18,1247.8
2025-11-10,PHX,PHX vs. NOP,W,1519.9,83.6%,+3.28,1523.2
2025-11-10,CLE,CLE @ MIA,L,1620.4,53.4%,-10.69,1609.7
2025-11-10,DET,DET vs. WAS,W,1609.0,94.3%,+1.15,1610.2
2025-11-09,HOU,HOU @ MIL,W,1637.1,55.2%,+8.95,1646.1
2025-11-09,BOS,BOS @ ORL,W,1531.0,53.8%,+9.24,1540.3
2025-11-09,MIL,MIL vs. HOU,L,1613.0,48.3%,-9.66,1603.4
2025-11-09,IND,IND @ GSW,L,1426.8,29.5%,-5.9,1420.9
2025-11-09,PHI,PHI vs. DET,L,1374.3,20.9%,-4.18,1370.1
2025-11-09,MIN,MIN @ SAC,W,1616.6,70.4%,+5.91,1622.5
2025-11-09,MEM,MEM vs. OKC,L,1452.2,11.0%,-2.21,1449.9
2025-11-09,SAC,SAC vs. MIN,L,1486.7,34.8%,-6.96,1479.7
2025-11-09,DET,DET @ PHI,W,1603.2,78.6%,+4.27,1607.4
2025-11-09,OKC,OKC @ MEM,W,1812.0,88.6%,+2.27,1814.3
2025-11-09,NYK,NYK vs. BKN,W,1633.9,92.6%,+1.47,1635.4
2025-11-09,ORL,ORL vs. BOS,L,1497.4,44.2%,-8.83,1488.6
2025-11-09,GSW,GSW vs. IND,W,1593.0,73.9%,+5.22,1598.2
2025-11-09,BKN,BKN @ NYK,L,1191.5,7.2%,-1.44,1190.1
2025-11-08,CHI,CHI @ CLE,L,1600.3,47.6%,-9.53,1590.8
2025-11-08,PHI,PHI vs. TOR,W,1358.3,27.4%,+14.52,1372.8
2025-11-08,DEN,DEN vs. IND,W,1705.3,82.9%,+3.41,1708.7
2025-11-08,POR,POR @ MIA,L,1624.9,56.3%,-11.27,1613.6
2025-11-08,LAC,LAC vs. PHX,L,1554.8,61.1%,-12.22,1542.6
2025-11-08,ATL,ATL vs. LAL,W,1494.8,26.4%,+14.72,1509.5
2025-11-08,IND,IND @ DEN,L,1435.9,18.0%,-3.59,1432.3
2025-11-08,PHX,PHX @ LAC,W,1497.8,44.9%,+11.02,1508.8
2025-11-08,MIA,MIA vs. POR,W,1571.8,41.2%,+11.76,1583.6
2025-11-08,LAL,LAL @ ATL,L,1642.8,66.4%,-13.27,1629.5
2025-11-08,DAL,DAL @ WAS,W,1289.8,71.0%,+5.8,1295.6
2025-11-08,WAS,WAS vs. DAL,L,1129.2,27.8%,-5.57,1123.7
2025-11-08,SAS,SAS vs. NOP,W,1517.8,82.5%,+3.5,1521.3
2025-11-08,NOP,NOP @ SAS,L,1246.5,17.2%,-3.43,1243.0
2025-11-08,TOR,TOR @ PHI,L,1551.9,77.8%,-15.56,1536.3
